id,title,description,date_taken,date_uploaded,latitude,longitude,context,image_url,tags,source_dataset,vision_label,vision_reason,vision_error,vision_model,vision_backend,cluster_id
14333798605,"Three-masted training ship MERSEY at Neutral Bay, Sydney","The White Star Line three-masted training ship MERSEY had the capacity to train 60 cadets. Between 1908 and 1915 MERSEY made six trips to Australia. 

This photo is part of the Australian National Maritime Museum’s Samuel J. Hood Studio collection. Sam Hood (1872-1953) was a Sydney photographer with a passion for ships. His 60-year career spanned the romantic age of sail and two world wars. The photos in the collection were taken mainly in Sydney and Newcastle during the first half of the 20th century. 

If reproduced or distributed, this image should be clearly attributed to the collection of the Australian National Maritime Museum; and not be used for any commercial or for-profit purposes without the permission of the museum. For more information see our <a href=""http://www.anmm.gov.au/site/page.cfm?u=1657"" rel=""nofollow"">Flickr Commons Rights Statement</a>.

The ANMM undertakes research and accepts public comments that enhance the information we hold about images in our collection. This record has been updated accordingly. 

Photographer: Samuel J. Hood Studio Collection

Object no. 00020276",1911-01-01 00:00:00,1401757624,-33.847892,151.22509,0,https://live.staticflickr.com/2912/14333798605_e6faaa07a0_o.jpg,,Australian National Maritime Museum on The Commons,YES,openclip p(building)=0.932,,ViT-B-32,openclip,-1
13092770653,JEANNE D'ARC moored at Circular Quay,"JEANNE D'ARC moored at Circular Quay, Sydney on its 1938 goodwill visit to Australia. This Hood photograph shows the cruiser bow on with a refuelling barge and tug alongside. It is moored at East Circular Quay. 

This photo is part of the Australian National Maritime Museum’s Samuel J. Hood Studio collection. Sam Hood (1872-1953) was a Sydney photographer with a passion for ships. His 60-year career spanned the romantic age of sail and two world wars. The photos in the collection were taken mainly in Sydney and Newcastle during the first half of the 20th century. 

If reproduced or distributed, this image should be clearly attributed to the collection of the Australian National Maritime Museum; and not be used for any commercial or for-profit purposes without the permission of the museum. For more information see our <a href=""http://www.anmm.gov.au/site/page.cfm?u=1657"" rel=""nofollow"">Flickr Commons Rights Statement</a>.

The ANMM undertakes research and accepts public comments that enhance the information we hold about images in our collection. This record has been updated accordingly. 

Photographer: Samuel J. Hood Studio Collection

Object no. 00020437",1938-01-01 00:00:00,1394577448,-33.859333,151.212773,0,https://live.staticflickr.com/7383/13092770653_2859ede3e1_o.jpg,,Australian National Maritime Museum on The Commons,YES,openclip p(building)=0.745,,ViT-B-32,openclip,-1
12737753815,MAGDALENE VINNEN under partial sail 10 miles off Sydney,"This photo is part of the Australian National Maritime Museum’s Samuel J. Hood Studio collection. Sam Hood (1872-1953) was a Sydney photographer with a passion for ships. His 60-year career spanned the romantic age of sail and two world wars. The photos in the collection were taken mainly in Sydney and Newcastle during the first half of the 20th century. 

If reproduced or distributed, this image should be clearly attributed to the collection of the Australian National Maritime Museum; and not be used for any commercial or for-profit purposes without the permission of the museum. For more information see our <a href=""http://www.anmm.gov.au/site/page.cfm?u=1657"" rel=""nofollow"">Flickr Commons Rights Statement</a>.

The ANMM undertakes research and accepts public comments that enhance the information we hold about images in our collection. This record has been updated accordingly. 

Photographer: Samuel J. Hood Studio Collection

Object no. 00024700",1933-01-01 00:00:00,1393215813,-33.833849,151.296758,0,https://live.staticflickr.com/7311/12737753815_8de7aef4d4_o.jpg,,Australian National Maritime Museum on The Commons,YES,openclip p(building)=0.547,,ViT-B-32,openclip,-1
12737753465,MAGDALENE VINNEN awaiting cargo in Sydney Harbour,"This photo is part of the Australian National Maritime Museum’s Samuel J. Hood Studio collection. Sam Hood (1872-1953) was a Sydney photographer with a passion for ships. His 60-year career spanned the romantic age of sail and two world wars. The photos in the collection were taken mainly in Sydney and Newcastle during the first half of the 20th century. 

If reproduced or distributed, this image should be clearly attributed to the collection of the Australian National Maritime Museum; and not be used for any commercial or for-profit purposes without the permission of the museum. For more information see our <a href=""http://www.anmm.gov.au/site/page.cfm?u=1657"" rel=""nofollow"">Flickr Commons Rights Statement</a>.

The ANMM undertakes research and accepts public comments that enhance the information we hold about images in our collection. This record has been updated accordingly. 

Photographer: Samuel J. Hood Studio Collection

Object no. 00024699",1933-01-01 00:00:00,1393215811,-33.823082,151.275558,0,https://live.staticflickr.com/3737/12737753465_c240dd909c_o.jpg,,Australian National Maritime Museum on The Commons,YES,openclip p(building)=0.567,,ViT-B-32,openclip,-1
12732710563,Egypt scenes 1917,"Handwritten captions accompanying these images read: 'Hospital boat Suez Canal Kantara to Pt Said 1917' and 'Monitor HMS LADYBIRD Suez Canal 1917'

This photo is part of an album compiled by Sub. Lieutenant H.B. Buck during his service in WWI and is part of the Australian National Maritime Museum’s collection. If reproduced or distributed, this image should be clearly attributed to the collection of the Australian National Maritime Museum; and not be used for any commercial or for-profit purposes without the permission of the museum. For more information see our <a href=""http://www.anmm.gov.au/site/page.cfm?u=1657"" rel=""nofollow"">Flickr Commons Rights Statement</a>.

The Australian National Maritime Museum undertakes research and accepts public comments that enhance the information we hold about images in our collection. If you can identify a person, vessel or landmark, write the details in the Comments box below. 

Thank you for helping caption this important historical image.

Object number: 00007425_9",1917-01-01 00:00:00,1393199485,29.97262,32.530021,0,https://live.staticflickr.com/5482/12732710563_43423dd340_o.jpg,,Australian National Maritime Museum on The Commons,YES,openclip p(building)=0.882,,ViT-B-32,openclip,-1
12601941545,Egypt scenes 1916,"Handwritten captions accompanying these images read: 'Motor Train at Quarrantine Station East of Suez 1916' and 'Suez Canal at Port Tewfick'.

This photo is part of an album compiled by Sub. Lieutenant H.B. Buck during his service in WWI and is part of the Australian National Maritime Museum’s collection. If reproduced or distributed, this image should be clearly attributed to the collection of the Australian National Maritime Museum; and not be used for any commercial or for-profit purposes without the permission of the museum. For more information see our <a href=""http://www.anmm.gov.au/site/page.cfm?u=1657"" rel=""nofollow"">Flickr Commons Rights Statement</a>.

The Australian National Maritime Museum undertakes research and accepts public comments that enhance the information we hold about images in our collection. If you can identify a person, vessel or landmark, write the details in the Comments box below. 

Thank you for helping caption this important historical image.

Object number: 00007425_5",1916-01-01 00:00:00,1392685495,30.054819,31.25131,0,https://live.staticflickr.com/2872/12601941545_498343e4f6_o.jpg,,Australian National Maritime Museum on The Commons,YES,openclip p(building)=0.612,,ViT-B-32,openclip,-1
12598920445,Heliopolis scenes 1916,"Handwritten captions accompanying these images read: 'Obelisk Heliopolis Sugar Cane. Sisters's Russell and Davis Photo 1916' and 'Roman Catholic Church Heliopolis near Cairo Photo 1916'.

This photo is part of an album compiled by Sub. Lieutenant H.B. Buck during his service in WWI and is part of the Australian National Maritime Museum’s collection. If reproduced or distributed, this image should be clearly attributed to the collection of the Australian National Maritime Museum; and not be used for any commercial or for-profit purposes without the permission of the museum. For more information see our <a href=""http://www.anmm.gov.au/site/page.cfm?u=1657"" rel=""nofollow"">Flickr Commons Rights Statement</a>.

The Australian National Maritime Museum undertakes research and accepts public comments that enhance the information we hold about images in our collection. If you can identify a person, vessel or landmark, write the details in the Comments box below. 

Thank you for helping caption this important historical image.

Object number: 00007425_4",1916-01-01 00:00:00,1392675198,30.1,31.333299,0,https://live.staticflickr.com/7421/12598920445_bc8cd651aa_o.jpg,,Australian National Maritime Museum on The Commons,YES,openclip p(building)=0.988,,ViT-B-32,openclip,-1
12599023633,Cairo mosques 1916,"Handwritten captions accompanying these images read: 'Mohammed Ali Court yard before entering Mosque in Citadel. Photo 1916' and 'Window Sultan Kalloum [?] Mosque. Photo 1916'.

This photo is part of an album compiled by Sub. Lieutenant H.B. Buck during his service in WWI and is part of the Australian National Maritime Museum’s collection. If reproduced or distributed, this image should be clearly attributed to the collection of the Australian National Maritime Museum; and not be used for any commercial or for-profit purposes without the permission of the museum. For more information see our <a href=""http://www.anmm.gov.au/site/page.cfm?u=1657"" rel=""nofollow"">Flickr Commons Rights Statement</a>.

The Australian National Maritime Museum undertakes research and accepts public comments that enhance the information we hold about images in our collection. If you can identify a person, vessel or landmark, write the details in the Comments box below. 

Thank you for helping caption this important historical image.

Object number: 00007425_4",1916-01-01 00:00:00,1392675197,30.051265,31.254661,0,https://live.staticflickr.com/7354/12599023633_0ea703d538_o.jpg,,Australian National Maritime Museum on The Commons,YES,openclip p(building)=0.990,,ViT-B-32,openclip,-1
12581429563,Cairo scenes 1916,"Handwritten captions accompanying these images read: 'Cairo Sultan Hassan Mosque 500 years old in the foreground. French cannon balls in the wall. Photo 1916' and 'Cairo another view taken from Citadel 1916'.

This photo is part of an album compiled by Sub. Lieutenant H.B. Buck during his service in WWI and is part of the Australian National Maritime Museum’s collection. If reproduced or distributed, this image should be clearly attributed to the collection of the Australian National Maritime Museum; and not be used for any commercial or for-profit purposes without the permission of the museum. For more information see our <a href=""http://www.anmm.gov.au/site/page.cfm?u=1657"" rel=""nofollow"">Flickr Commons Rights Statement</a>.

The Australian National Maritime Museum undertakes research and accepts public comments that enhance the information we hold about images in our collection. If you can identify a person, vessel or landmark, write the details in the Comments box below. 

Thank you for helping caption this important historical image.

Object number: 00007425_3",1916-01-01 00:00:00,1392613378,30.042587,31.258959,0,https://live.staticflickr.com/2836/12581429563_33d740c570_o.jpg,,Australian National Maritime Museum on The Commons,YES,openclip p(building)=0.796,,ViT-B-32,openclip,-1
12487771263,Wilson's Promontory,"This image is from a leather photograph album dating to the late 1800s. The album contains sepia prints of a voyage from Melbourne to Sydney on SS ARAMAC as well as various sights around Sydney Harbour and the Hawkesbury River. The provenance of the album and the identity of the photographer is unknown.

If reproduced or distributed, this image should be clearly attributed to the collection of the Australian National Maritime Museum; and not be used for any commercial or for-profit purposes without the permission of the museum. For more information see our <a href=""http://www.anmm.gov.au/site/page.cfm?u=1657"" rel=""nofollow"">Flickr Commons Rights Statement</a>.

The Australian National Maritime Museum undertakes research and accepts public comments that enhance the information we hold about images in our collection. If you can identify a person, vessel or landmark, write the details in the Comments box below. 

Thank you for helping caption this important historical image.

Object number 00036455_41",1897-01-01 00:00:00,1392243910,-38.843494,146.333193,0,https://live.staticflickr.com/3683/12487771263_1214e97194_o.jpg,,Australian National Maritime Museum on The Commons,YES,openclip p(building)=0.966,,ViT-B-32,openclip,-1
